x,y
0.00,1.00
0.10,0.81
0.20,0.64
0.30,0.49
0.40,0.36
0.50,0.25
0.60,0.16
0.70,0.09
0.80,0.04
0.90,0.01
1.00,0.00
1.10,0.01
1.20,0.04
1.30,0.09
1.40,0.16
1.50,0.25
1.60,0.36
1.70,0.49
1.80,0.64
1.90,0.81
2.00,1.00
2.10,1.21
2.20,1.44
2.30,1.69
2.40,1.96
2.50,2.25
2.60,2.56
2.70,2.89
2.80,3.24
2.90,3.61
3.00,4.00
3.10,4.41
3.20,4.84
3.30,5.29
3.40,5.76
3.50,6.25
3.60,6.76
3.70,7.29
3.80,7.84
3.90,8.41
4.00,9.00
4.10,9.61
4.20,10.24
4.30,10.89
4.40,11.56
4.50,12.25
4.60,12.96
4.70,13.69
4.80,14.44
4.90,15.21
5.00,16.00
5.10,16.81
5.20,17.64
5.30,18.49
5.40,19.36
5.50,20.25
5.60,21.16
5.70,22.09
5.80,23.04
5.90,24.01
6.00,25.00
6.10,26.01
6.20,27.04
6.30,28.09
6.40,29.16
6.50,30.25
6.60,31.36
6.70,32.49
6.80,33.64
6.90,34.81
7.00,36.00
7.10,37.21
7.20,38.44
7.30,39.69
7.40,40.96
7.50,42.25
7.60,43.56
7.70,44.89
7.80,46.24
7.90,47.61
8.00,49.00
8.10,50.41
8.20,51.84
8.30,53.29
8.40,54.76
8.50,56.25
8.60,57.76
8.70,59.29
8.80,60.84
8.90,62.41
9.00,64.00
9.10,65.61
9.20,67.24
9.30,68.89
9.40,70.56
9.50,72.25
9.60,73.96
9.70,75.69
9.80,77.44
9.90,79.21
10.00,81.00
10.10,82.81
10.20,84.64
10.30,86.49
10.40,88.36
10.50,90.25
10.60,92.16
10.70,94.09
10.80,96.04
10.90,98.01
11.00,100.00
11.10,102.01
11.20,104.04
11.30,106.09
11.40,108.16
11.50,110.25
11.60,112.36
11.70,114.49
11.80,116.64
11.90,118.81
12.00,121.00
12.10,123.21
12.20,125.44
12.30,127.69
12.40,129.96
12.50,132.25
12.60,134.56
12.70,136.89
12.80,139.24
12.90,141.61
13.00,144.00
13.10,146.41
13.20,148.84
13.30,151.29
13.40,153.76
13.50,156.25
13.60,158.76
13.70,161.29
13.80,163.84
13.90,166.41
14.00,169.00
14.10,171.61
14.20,174.24
14.30,176.89
14.40,179.56
14.50,182.25
14.60,184.96
14.70,187.69
14.80,190.44
14.90,193.21
15.00,196.00
15.10,198.81
15.20,201.64
15.30,204.49
15.40,207.36
15.50,210.25
15.60,213.16
15.70,216.09
15.80,219.04
15.90,222.01
16.00,225.00
16.10,228.01
16.20,231.04
16.30,234.09
16.40,237.16
16.50,240.25
16.60,243.36
16.70,246.49
16.80,249.64
16.90,252.81
17.00,256.00
17.10,259.21
17.20,262.44
17.30,265.69
17.40,268.96
17.50,272.25
17.60,275.56
17.70,278.89
17.80,282.24
17.90,285.61
18.00,289.00
18.10,292.41
18.20,295.84
18.30,299.29
18.40,302.76
18.50,306.25
18.60,309.76
18.70,313.29
18.80,316.84
18.90,320.41
19.00,324.00
19.10,327.61
19.20,331.24
19.30,334.89
19.40,338.56
19.50,342.25
19.60,345.96
19.70,349.69
19.80,353.44
19.90,357.21
20.00,361.00
20.10,364.81
20.20,368.64
20.30,372.49
20.40,376.36
20.50,380.25
20.60,384.16
20.70,388.09
20.80,392.04
20.90,396.01
21.00,400.00
21.10,404.01
21.20,408.04
21.30,412.09
21.40,416.16
21.50,420.25
21.60,424.36
21.70,428.49
21.80,432.64
21.90,436.81
22.00,441.00
22.10,445.21
22.20,449.44
22.30,453.69
22.40,457.96
22.50,462.25
22.60,466.56
22.70,470.89
22.80,475.24
22.90,479.61
23.00,484.00
23.10,488.41
23.20,492.84
23.30,497.29
23.40,501.76
23.50,506.25
23.60,510.76
23.70,515.29
23.80,519.84
23.90,524.41
24.00,529.00
24.10,533.61
24.20,538.24
24.30,542.89
24.40,547.56
24.50,552.25
24.60,556.96
24.70,561.69
24.80,566.44
24.90,571.21
25.00,576.00
25.10,580.81
25.20,585.64
25.30,590.49
25.40,595.36
25.50,600.25
25.60,605.16
25.70,610.09
25.80,615.04
25.90,620.01
26.00,625.00
26.10,630.01
26.20,635.04
26.30,640.09
26.40,645.16
26.50,650.25
26.60,655.36
26.70,660.49
26.80,665.64
26.90,670.81
27.00,676.00
27.10,681.21
27.20,686.44
27.30,691.69
27.40,696.96
27.50,702.25
27.60,707.56
27.70,712.89
27.80,718.24
27.90,723.61
28.00,729.00
28.10,734.41
28.20,739.84
28.30,745.29
28.40,750.76
28.50,756.25
28.60,761.76
28.70,767.29
28.80,772.84
28.90,778.41
29.00,784.00
29.10,789.61
29.20,795.24
29.30,800.89
29.40,806.56
29.50,812.25
29.60,817.96
29.70,823.69
29.80,829.44
29.90,835.21
30.00,841.00
30.10,846.81
30.20,852.64
30.30,858.49
30.40,864.36
30.50,870.25
30.60,876.16
30.70,882.09
30.80,888.04
30.90,894.01
31.00,900.00
31.10,906.01
31.20,912.04
31.30,918.09
31.40,924.16
31.50,930.25
31.60,936.36
31.70,942.49
31.80,948.64
31.90,954.81
32.00,961.00
32.10,967.21
32.20,973.44
32.30,979.69
32.40,985.96
