x,y
0.00,-8.89
0.10,-22.87
0.20,-7.05
0.30,-12.59
0.40,10.47
0.50,-16.26
0.60,16.15
0.70,21.88
0.80,5.36
0.90,-19.40
1.00,0.70
1.10,-0.42
1.20,-3.75
1.30,-12.43
1.40,-12.76
1.50,-21.24
1.60,-1.85
1.70,-8.37
1.80,1.65
1.90,-22.79
2.00,1.57
2.10,-20.31
2.20,14.70
2.30,-13.47
2.40,8.95
2.50,14.91
2.60,-19.31
2.70,8.48
2.80,2.89
2.90,1.86
3.00,2.78
3.10,18.27
3.20,-6.65
3.30,-0.91
3.40,5.86
3.50,17.27
3.60,-0.17
3.70,2.08
3.80,-4.07
3.90,21.58
4.00,23.58
4.10,-14.39
4.20,-3.53
4.30,-6.60
4.40,2.08
4.50,12.15
4.60,28.24
4.70,9.51
4.80,14.69
4.90,32.27
5.00,38.77
5.10,24.70
5.20,24.21
5.30,23.53
5.40,41.77
5.50,28.32
5.60,43.73
5.70,36.82
5.80,44.74
5.90,9.15
6.00,11.75
6.10,43.04
6.20,25.19
6.30,36.74
6.40,41.89
6.50,48.19
6.60,11.83
6.70,38.02
6.80,34.87
6.90,22.23
7.00,37.43
7.10,43.75
7.20,51.89
7.30,15.57
7.40,54.47
7.50,53.18
7.60,48.25
7.70,66.89
7.80,42.62
7.90,64.42
8.00,55.50
8.10,38.16
8.20,39.98
8.30,44.52
8.40,78.16
8.50,45.66
8.60,45.99
8.70,65.98
8.80,38.71
8.90,40.54
9.00,74.77
9.10,65.73
9.20,60.57
9.30,79.24
9.40,82.20
9.50,88.54
9.60,74.24
9.70,61.57
9.80,98.44
9.90,59.30
10.00,66.24
10.10,104.04
10.20,70.57
10.30,87.66
10.40,63.90
10.50,106.98
10.60,106.71
10.70,94.06
10.80,111.58
10.90,116.74
11.00,113.76
11.10,108.35
11.20,95.69
11.30,128.18
11.40,85.81
11.50,131.05
11.60,116.27
11.70,118.81
11.80,129.34
11.90,112.36
12.00,132.91
12.10,102.77
12.20,104.10
12.30,146.05
12.40,131.39
12.50,142.30
12.60,115.93
12.70,143.69
12.80,115.31
12.90,154.14
13.00,168.75
13.10,149.65
13.20,124.12
13.30,150.91
13.40,168.12
13.50,178.98
13.60,164.52
13.70,160.59
13.80,168.19
13.90,158.04
14.00,167.71
14.10,172.77
14.20,167.04
14.30,172.76
14.40,198.76
14.50,166.58
14.60,183.03
14.70,180.51
14.80,197.72
14.90,183.94
15.00,185.73
15.10,219.21
15.20,224.17
15.30,221.21
15.40,211.34
15.50,201.86
15.60,208.38
15.70,223.90
15.80,211.14
15.90,215.43
16.00,232.55
16.10,231.87
16.20,215.99
16.30,250.61
16.40,224.93
16.50,237.24
16.60,246.99
16.70,222.91
16.80,248.15
16.90,232.94
17.00,264.65
17.10,256.23
17.20,250.87
17.30,247.72
17.40,274.25
17.50,287.05
17.60,278.01
17.70,282.52
17.80,295.56
17.90,261.39
18.00,300.97
18.10,283.85
18.20,308.47
18.30,286.60
18.40,283.63
18.50,312.20
18.60,304.45
18.70,317.31
18.80,293.92
18.90,337.32
19.00,305.81
19.10,347.77
19.20,353.56
19.30,317.66
19.40,360.64
19.50,353.31
19.60,340.50
19.70,348.30
