x,y
0.00,-8.89
0.10,-15.88
0.20,-12.94
0.30,-12.85
0.40,-8.19
0.50,-9.53
0.60,-5.86
0.70,-2.40
0.80,-1.53
0.90,-3.32
1.00,-2.95
1.10,-2.74
1.20,-2.82
1.30,-3.51
1.40,-4.12
1.50,-5.19
1.60,-5.00
1.70,-5.18
1.80,-4.82
1.90,-5.72
2.00,-5.38
2.10,-6.05
2.20,-5.15
2.30,-5.50
2.40,-4.92
2.50,-4.16
2.60,-4.72
2.70,-4.25
2.80,-4.00
2.90,-3.81
3.00,-3.59
3.10,-2.91
3.20,-3.02
3.30,-2.96
3.40,-2.71
3.50,-2.15
3.60,-2.10
3.70,-1.99
3.80,-2.04
3.90,-1.45
4.00,-0.84
4.10,-1.17
4.20,-1.22
4.30,-1.34
4.40,-1.27
4.50,-0.98
4.60,-0.35
4.70,-0.15
4.80,0.15
4.90,0.80
5.00,1.75
5.10,2.70
5.20,3.33
5.30,4.05
5.40,4.68
5.50,5.57
5.60,6.12
5.70,6.42
5.80,7.20
5.90,7.78
6.00,8.00
6.10,8.87
6.20,9.44
6.30,10.43
6.40,11.52
6.50,12.91
6.60,13.18
6.70,14.11
6.80,14.78
6.90,15.68
7.00,16.39
7.10,17.67
7.20,18.42
7.30,19.00
7.40,19.91
7.50,20.67
7.60,22.03
7.70,23.19
7.80,23.99
7.90,25.24
8.00,26.29
8.10,26.69
8.20,27.62
8.30,28.53
8.40,29.98
8.50,30.55
8.60,31.47
8.70,32.75
8.80,33.60
8.90,33.98
9.00,35.01
9.10,36.61
9.20,37.89
9.30,39.61
9.40,41.21
9.50,42.74
9.60,43.66
9.70,44.70
9.80,46.37
9.90,46.92
10.00,47.46
10.10,49.05
10.20,49.98
10.30,51.26
10.40,51.70
10.50,53.28
10.60,54.54
10.70,55.68
10.80,57.02
10.90,59.17
11.00,61.21
11.10,62.52
11.20,63.93
11.30,65.76
11.40,66.63
11.50,68.29
11.60,70.38
11.70,72.00
11.80,73.88
11.90,75.69
12.00,77.60
12.10,78.78
12.20,79.82
12.30,82.43
12.40,83.97
12.50,85.75
12.60,87.11
12.70,88.64
12.80,90.10
12.90,91.89
13.00,94.15
13.10,96.38
13.20,98.07
13.30,100.20
13.40,101.99
13.50,104.66
13.60,107.03
13.70,108.92
